School Name,Address,City,State,Zip Code,Phone,Fax
Rancho Buena Vista H.S. (Comprehensive),1601 Longhorn Drive,Vista,CA,92081,760-727-7284,760-727-3179
Alta Vista High School (Continuation),1575 Bonair Road,Vista,CA,92084,760-724-3775,760-724-3779
Vista High School (Comprehensive),1 Panther Drive,Vista,CA,92083,760-726-5611,760-726-5612
Major General Murray H.S. (Continuation),215 N. Melrose Drive,Vista,CA,92083,760-631-2502,760-631-2503
Mission Vista H.S. (Comprehensive Magnet),1306 Melrose Drive,Oceanside,CA,92057,760-758-6800,760-758-6808
Vista Visions Academy (Independent Study),1575 Bonair Rd.,Vista,CA,92084,760-724-3775,760-758-1428

