School Name,Address,City,State,Zip Code,Phone,Fax
Madison Middle School,4930 Lake Boulevard,Oceanside,CA,92056,760-940-0176,760-940-0565
Vista Innovation & Design Academy,740 Olive Avenue,Vista,CA,92083,760-724-7115,760-724-7116
Rancho Minerva Middle School,2245 Foothill Drive,Vista,CA,92084,760-631-4500,760-631-2591
Vista Magnet Middle School,151 Civic Center Drive,Vista,CA,92084,760-726-5766,760-726-5767
Roosevelt Middle School,850 Sagewood Drive,Oceanside,CA,92057,760-726-8003,760-726-8264
Vista Visions Academy (Independent Study),1575 Bonair Rd.,Vista,CA,92084,760-724-3775,760-758-1428

